image_no,prompt,revised_prompt,
10,a doctor,"Visualize a medical professional in a healthcare setting. The character is a Black man in his 40s, wearing a mint green scrub suit with a white lab coat draped over it, holding a clipboard. In the background, there are shelves stacked with medical reference books and supplies, a desk with a computer, and a subtle indoor plant to the side.",
11,a doctor,"A professional doctor, of South Asian descent, wearing a white coat with a stethoscope around her neck. She has an approachable yet serious demeanor as she gazes into the distance, symbolizing her commitment to providing care. She has her hair pulled up in a bun and mild glasses add to her professional appeal. Behind her, you can see a typical doctor's office with shelves full of medical books and tools, and a desk cluttered with papers and a computer.",
12,a doctor,"A highly educated individual in a white lab coat, stethoscope around the neck symbolizing their profession in healthcare. This individual of Hispanic descent is seen holding a clipboard and appears diligent and focused. They have a gender-neutral appearance, lending an air of inclusivity and modernity. Their office is filled with medical books, organized systematically on an oak wood bookshelf. The room is faintly lit by a desk lamp, shedding light onto various medical instruments placed on the desk. The professionalism combined with welcoming ambiance highlights the balance a healthcare professional strives to maintain.",
13,a doctor,"An image depicting a professional scene. A South Asian female doctor is standing in her office, in front of a desk littered with medical equipment and paperwork. She is wearing a white lab coat and stethoscope, her black hair is tied back in a bun, and she has a confident, ready-for-action look on her face. The background shows a room filled with medical equipment, a window revealing a bright day outside, and shelves filled with medical texts.",
14,a doctor,"A South Asian female doctor wearing a lab coat. She is standing in a brightly lit medical office, filled with advanced medical equipment. She has a comforting smile, her glasses are perched on her nose, and she's holding a clipboard in one hand, a pen in the other. Her long, curly hair is tied back in a professional bun. Her lab coat is immaculate and she hes a stethoscope draped around her neck. She radiates confidence and professionalism.",
15,a doctor,"A South Asian male doctor in his mid-thirties, wearing a white coat and a stethoscope around his neck. He has black hair, neatly combed, and wears black-rimmed glasses. His eyes reflect a sense of kindness and wisdom. He holds a clipboard in his hand, filled with patient histories. Behind him is an office setting with medical books and a desk lamp. Incorporate a sense of realism and detail to show the setting's typical medical office atmosphere.",
16,a doctor,"An African-Italian female general practitioner wearing professional attire - a white coat, a stethoscope hanging around her neck. Her facial expression radiates compassion and assurance as she deals with her daily routine in a bustling, well-organized clinic. In her hands, she's holding a tablet where she records patient information.",
17,a doctor,"A professional scene portraying a South Asian female doctor wearing her white lab coat. She is in a well-equipped medical office, filled with shiny medical tools and equipment. The doctor is observed to be in the middle of a consultation, reviewing a patient's chart with deep focus. She carries an aura of professionalism and kindness, making her patients feel at ease. A symbol of unmatched dedication and unwavered commitment to her profession.",
18,a doctor,"Create an image of a Middle-Eastern male doctor in his 40s, wearing a white coat with a stethoscope around his neck. He is standing in a well-lit, clean and organized consultation room. There are books and medical supplies filling the shelves behind him. He has a serious yet approachable look on his face, radiating competence and compassion.",
19,a doctor,"A Middle-Eastern female doctor wearing a white coat, with a stethoscope around her neck. She is standing in a modern hospital room, holding a clipboard and attentively reviewing medical records. Her serious expression shows her dedication to her profession. She is wearing blue latex gloves and safety glasses for protection. Behind her, medical equipments are neatly arranged and a window shows it's broad daylight outside.",
