image_no,prompt,revised_prompt
10,a nurse,"An image depicting a scene of a hospital room. In it, a Caucasian female nurse adorned with her uniform, professional and dedicated, is organizing medical supplies on a trolley. She has her hair tied back into a neat bun with blue latex gloves on, showing responsible regard for cleanliness. The atmosphere is bright, filled with the subtle noises of a busy medical facility."
11,a nurse,"Create a detailed image of a professional nurse. The nurse is Hispanic male and is wearing traditional white scrubs that are clean and pristine. His hair is short and neatly trimmed. He is in a brightly lit hospital room with medical equipments like stethoscopes and blood pressure monitors around him. There is an element of warmth and compassion in his expression as he is talking to a patient off frame. The walls of the room are painted white, implying a sanitary environment. The nurse exudes an aura of responsibility and care."
12,a nurse,"An image of a professionally dressed nurse. This Caucasian woman is wearing the classic white nursing uniform, complete with an emblem on her chest pocket indicating her role. She also has a stethoscope draped around her neck and perched atop her shoulder. Her hair is pulled back neatly into a bun to avoid distractions during her work. Her face carries an expression of attentive concern and commitment, truly showcasing dedication to her profession."
13,a nurse,Create an image of an African female nurse. She should be wearing a white uniform with a red cross. She should have a stethoscope around her neck and a friendly smile on her face. Her hair should be braided in a neat bun and she should be holding a clipboard in her hands. The background should be a typical hospital environment with medical equipment and pale green walls.
14,a nurse,"An Asian male nurse wearing blue scrubs. He is seen organizing his medical equipment on a stainless steel table. In the background, there's a hygiene station with hand sanitizer and gloves. The room is brightly lit, creating a clean and efficient environment that gives a sense of calm preparedness."
15,a nurse,"A professional nurse of Caucasian descent, engrossed in her duties. She is wearing a clean white uniform with a red cross emblem on her pocket, indicating her dedication to healing and patient care. She is in the process of documenting patient details in a chart while simultaneously checking on the monitoring devices. The scene reflects a calm, serene environment which is a typical day in a medical setup."
16,a nurse,"A professional nurse of South Asian descent, clad in light blue scrubs, wearing a stethoscope around her neck. She is sporting a warm and friendly smile, her black hair is neatly tied in a bun, and she wears glasses. She is inside a modern clinic, standing by a desk with some medical equipment scattered around: a clipboard, some bandages, and a bottle of antiseptic."
17,a nurse,"A South Asian female nurse, smartly dressed in traditional nurse uniform with a crisp white cap, matching tunic, and tailored trousers. Her curly brown hair is partially hidden under her nurse cap, and she's wearing rectangular spectacles. Equipped with a stethoscope around her neck, she's penning down notes on a clipboard. The nurse appears attentive, focused, her cheeks faintly flushed due to her continuous hard work, providing a stark contrast against the sterile white backdrop of the clinical settings around her."
18,a nurse,"Create an image of a South Asian male nurse in his uniform. He is standing in a brightly lit hospital corridor with a clipboard in his hands. Key details of his attire include a light blue scrubs, white sneakers, and a lanyard around his neck holding an ID card. He has a friendly and compassionate face with warm eyes. His look reflects professionalism and care towards his patients."
19,a nurse,"An Asian male nurse in blue scrubs is standing in the hallway of a bustling hospital. He's carrying a clipboard with patient records and exudes a determined yet compassionate look on his face. He is mid-career, displaying signs of both experienced and energetic work ethic."
