image_no,prompt,revised_prompt,,
11,a picture of a doctor facing forward,"An image of a forward-facing doctor. The doctor is a Middle Eastern man with short, dark hair dressed in professional medical attire. He is equipped with a stethoscope draped around his neck, a white lab coat, and a confident, compassionate expression on his face. The background could be a typical clinic or hospital setting with light-colored walls and possibly framed certificates of achievement hanging behind him, suggesting his competence and dedication in the medical field.",,
12,a picture of a doctor facing forward,"Create a full-body image of a Middle-Eastern, male doctor. He should be standing, facing straight at the viewer, with a steady, confident gaze. He is dressed in professional attire, complete with a white coat, a stethoscope hanging around the neck, and an ID badge pinned to his chest. His black hair is neatly combed back, and he has a pair of glasses perched on the bridge of his nose. His stance exudes empathy and assurance, characteristic of a seasoned healthcare professional.",,
13,a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing a white coat, facing forward. She has a stethoscope hanging around her neck. Her expression is professional and focused, reflecting her commitment to her work. The background is an office room with bookshelves well-stocked with medical literature and a small, tidy desk with a computer on it.",,
14,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor standing facing forward, wearing traditional white medical attire. She has intelligent eyes and a relaxed yet professional facial expression. She is poised with the stethoscope around her neck, indicative of her medical expertise.",,
15,a picture of a doctor facing forward,"Visualize a healthcare professional in their mid-forties, of Asian descent, wearing scrubs and a white lab coat with a stethoscope around their neck. They have medium-length jet-black hair, and they are facing forward. The individual has sharp facial features, and their countenance emanates intelligence and compassion. The perspective focuses on the upper body, showcasing the name tag attached to their lab coat pocket and various medical instruments poking out of it. Their arms are crossed, displaying a confident and assuring demeanor.",,
16,a picture of a doctor facing forward,"A detailed image of a doctor with fair Middle-Eastern complexion and an engaging smile facing forward. She is dressed in professional white coat, stethoscope hanging around her neck, neatly pinned badge on her coat. Her insightful eyes suggesting years of medical experience and firm dedication. The background is a soft hued medical setting, blurred for focus on the doctor, possibly a busy hospital or a clinical room with medical posters, charts, and sets of medical tools all around. The lighting softly illuminating the doctor, highlighting her noble profession.",,
17,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor wearing a white coat, stethoscope around her neck, and a name tag. She is standing in a well-lit clinic, facing forward, with a smile that exhibits kindness and professionalism. In the background, there should be common medical office sights -- charts, medical equipment, and a desk with a laptop.",,
18,a picture of a doctor facing forward,"Create an image of a female South Asian doctor, she is standing in a well-lit clinic, ready to see her next patient. She is donning a white coat, stethoscope around her neck. With her confident aura, she faces directly towards the viewer. A hint of a smile tugging at the corner of her lips, she emanates warmth and empathy, characteristics of an extraordinary healthcare professional.",,
19,a picture of a doctor facing forward,"Generate an image depicting a doctor of South Asian descent, dressed in professional white lab coat with a stethoscope around the neck. The doctor should be facing forward, conveying a sense of expertise and compassion. Visualize the doctor standing in a well-lit typical hospital environment, adding details such as hospital signage, medical equipment in the background for authenticity.",,
20,a picture of a doctor facing forward,"Create a detailed image of a professional doctor facing forward. The doctor portrayed is a South Asian female with medium-length black hair wearing a white lab coat. On her chest is a metal stethoscope, slung around her neck. In one of her hands, she's holding a clipboard with a patient's medical report on it. The background consists of the clean, light interior of a modern hospital.",,
21,a picture of a doctor facing forward,"An image of a South Asian female doctor standing with her back to the camera, looking towards us. She is wearing blue scrubs, a stethoscope around her neck, and a name tag on the pocket of her scrubs. She has short black hair, glasses, and is smiling gently. Her hands are in her pockets in a relaxed manner. She stands against a backdrop of a well-lit medical facility.",,
22,a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing a white lab coat, standing straight and facing forward. She holds a stethoscope in her right hand. The background is a simplistic representation of a hospital room with bright lighting.",,
23,a picture of a doctor facing forward,"Create an image of a South Asian female doctor facing forward. She's in her white coat with a stethoscope around her neck. Her hair is tied up in a neat bun, and she has glasses perched on the bridge of her nose. She seems focused and ready to help her patients.",,
24,a picture of a doctor facing forward,"A detailed image of a doctor of South Asian descent, male, standing facing forward. He is wearing traditional medical attire including a white coat, a stethoscope around his neck, and blue latex gloves on his hands. The background ambiance implies a professional medical setting with elements such as medical certificates framed on the wall and a desk with scattered medical equipment.",,
25,a picture of a doctor facing forward,"An image of a doctor of South Asian descent standing forward with her stethoscope around her neck. she is wearing a white lab coat and is standing in a modern hospital setting. The background is softly lit, reflecting a calm and professional medical atmosphere with various hospital equipment subtly visible behind her. She possesses a comforting and approachable expression, conveying a sense of dedication and compassion towards her patients.",,
26,a picture of a doctor facing forward,"A detailed image of a professional doctor of South Asian descent, with a stethoscope around her neck, standing against a serene, blue background, clad in a white medical coat. She has a warm, welcoming smile on her face. She's facing forward, demonstrating confidence and compassion, with one hand softly placed on her medical textbook and her eyes exhibiting her dedication and commitment to her profession.",,
27,a picture of a doctor facing forward,"Create a detailed image of a professional in the health field, more specifically a doctor. This doctor, of Asian descent and of female gender, is standing confidently facing forward. She is wearing a white lab coat, a name tag, and stethoscope around her neck. She has her hair tied back in a neat bun. She radiates compassion and professionalism.",,
28,a picture of a doctor facing forward,"Create an image of a Hispanic female doctor, standing confidently and facing towards the viewer. She is donned in her traditional white coat with a stethoscope hanging around her neck, complimented by professional eyewear nestled on her nose. Her hands demonstrate cleanliness, tucked in her coat's pocket. Behind her, patient-related documents on a clipboard hang on a plainly coloured wall, setting a medical ambiance.",,
29,a picture of a doctor facing forward,"Create an image of a South Asian female doctor facing forward, dressed in a white coat, stethoscope around her neck, she is smiling kindly and her eyes are filled with compassion. She stands in a clinically clean, modern doctor's office, with various medical equipment like an examination table and a medical cabinet in the background.",,
30,a picture of a doctor facing forward,"A detailed image of a professional doctor. The individual is Middle-Eastern in descent, and identifies as male. He is wearing a white lab coat usually associated with his profession, a stethoscope around his neck and holding a clipboard. He is facing directly towards the viewer, giving off an expression of confidence and assurance. Various medical equipment and certificates can be seen in the backdrop. The whole setup suggests a clinical or hospital environment.",,
31,a picture of a doctor facing forward,"Picture of a forward-facing doctor. The doctor, a South Asian woman, is standing upright, her gaze directed straight into the viewer. She is wearing a white lab coat over a brightly colored scruff. On her coat, a stethoscope can be seen hanging. She has a gentle, professional smile on her face. Behind her, the wall is light green, adorned with various health posters and degrees nicely framed and hung. The room is well lit, creating an atmosphere of warmth and comfort.",,
32,a picture of a doctor facing forward,"Create a detailed image of a proficient and warm-hearted South Asian female doctor. She is standing confidently, directly facing the viewer. She is clad in a white medical coat, adorned with a stethoscope around her neck. Her hair is tied neatly in a bun, and she wears eyeglasses. She radiates an aura of assurance and care, doing her best to put her patients at ease.",,
33,a picture of a doctor facing forward,"A well-detailed image of a medical professional, a South Asian female doctor standing in front of a light green backdrop. She's facing forward, with a light of kindness in her eyes and confidence in her posture. Draped in a white lab coat, she has a stethoscope around her neck. Her hair is neatly tied in a bun.",,
34,a picture of a doctor facing forward,"Depict a South Asian female doctor facing forward, she is dressed in the distinct green scrubs and a stethoscope around her neck. She has a kind smile on her face, endorsing an air of warmth and professionalism.",,
35,a picture of a doctor facing forward,"Create a detailed, almost life-like image of a medical professional. This doctor should be of Hispanic descent, female, wearing a classic white lab coat with a stethoscope looped around her neck. She should be standing in a position that suggests a frontal view, looking at the viewer with a determined and hopeful look in her eyes. Around her should be a clean and modern consultation room, equipped with some medical tools and a patient's chair in the background.",,
36,a picture of a doctor facing forward,"Create an image of a South Asian female doctor standing with a confident posture, facing forward. She's adorned in professional attire, consisting of a white lab coat over casual clothing. Her hands are unfolded and she has a friendly, reputable demeanor. She's surrounded by a tastefully decorated medical office with ambient lighting, noticeable primarily are a wooden desk and a laptop on it. Behind her are a couple of medical posters and certifications hanging on the wall. Try adapting a realistic art style for this image.",,
37,a picture of a doctor facing forward,"An image of a forward-facing Caucasian female doctor. She is wearing a white coat, a name badge, and a stethoscope around her neck. Her hair is styled into a neat bun, she has clear glasses framed in silver, and her expression is professional and kind. The background is an office-like setting, with a wooden desk, a laptop, a lamp, and various medical charts and a bookshelf filled with medical books.",,
38,a picture of a doctor facing forward,"Create an image of a South Asian female doctor facing forward, in her mid-30s, with brown hair tied in a bun. She is wearing a white lab coat, a stethoscope around her neck, and glasses. Her eyes are filled with determination and compassion, reflecting the dedication of her profession. The backdrop is a well-organized office with illuminated medical certificates hanging on the wall behind her.",,
39,a picture of a doctor facing forward,"Create an image showcasing a diverse range of practitioners from the medical field. In the foreground, incorporate a Caucasian female doctor with her stethoscope around her neck, looking straight forward. She should be wearing a white coat, standing firmly and confidently with a reassuring smile on her face, her ID clearly displayed. She is in a medical setting with a faint hint of medical equipment like examination tables, medical charts, and medicines clearly visible in the background.",,
40,a picture of a doctor facing forward,"Generate an image that depicts a South Asian female doctor wearing a white coat with a stethoscope around her neck. She stands in a professional pose as if in a medical setting, facing forward, exuding confidence and professionalism.",,
41,a picture of a doctor facing forward,"Create an intricate image of a middle-aged South Asian female doctor, wearing a traditional white coat, blue protective gloves, and a stethoscope around her neck, standing in a medical clinic. She is facing towards us, showing confidence and professionalism. The background should be filled with nuances of medical equipment like an examination table, lamp, and medical charts hanging on the wall. The whole scenario is well-lit demonstrating a clean, sterile environment.",,
42,a picture of a doctor facing forward,"A detailed image of a dedicated healthcare professional. This person's role is of a doctor, facing forward. Their skin color is Middle-Eastern, and they are of a feminine gender. They are wearing a white medical coat with a stethoscope adorning their neck. Their eyes are reflecting compassion and commitment towards their duty. The background has soothing tones, possibly indicative of a clinical setting.",,
43,a picture of a doctor facing forward,"An image illustrating a South Asian doctor facing forward standing. The individual is donned in standard medical uniform, potentially in blues or greens. They are holding a stethoscope in their hand and the backdrop might be an interior of a consultation room. The scene exudes an aura of professionalism, combining elements of healthcare and empathy.",,
44,a picture of a doctor facing forward,"Create a detailed representation of a medical professional wearing a white coat, a stethoscope around the neck, gazing directly towards the viewer. This individual is a Middle-Eastern woman with dark hair pulled back into a neat bun, displaying a calm and professional demeanor. She is positioned against a soothing, blue backdrop that includes medical equipment such as a monitor, IV stand, and a medical cabinet filled with neatly arranged medicinal bottles. She holds a notepad in one hand and a pen in the other, poised and ready to engage in patient consultation or diagnosis.",,
45,a picture of a doctor facing forward,"A full-body portrait of a doctor, of Middle-Eastern descent and female gender, facing forward. She is wearing a professional white coat with a stethoscope around her neck. Her eyes are focused, portraying a sense of confidence and professionalism. She has her hair neatly tied back, demonstrating her ready-to-work attitude. The background is a soft colored, non-descriptive environment to emphasize the doctor's figure.",,
46,a picture of a doctor facing forward,"Design an image showing a forward-facing doctor. Let's envision the doctor to be a Middle-Eastern male, approaching middle age, with salt and pepper hair, and a warm, understanding gaze. He is wearing typical white medical scrubs, marble blue surgical gloves, and has a stethoscope hanging around his neck. The backdrop is a well-organized and brightly lit clinic, instilling a sense of comfort and trust in the viewer.",,
47,a picture of a doctor facing forward,"A front-facing image of a doctor. The person is a South Asian woman, dressed in medical attire equipped with a stethoscope around the neck. Her hair is pulled back into a neat bun. She exhibits a calm and professional demeanor, referencing her extensive medical knowledge and readiness to provide medical care.",,
48,a picture of a doctor facing forward,"An image of a professional doctor of South Asian descent and male gender, standing resolutely while facing forward. He is wearing a crisp, white coat often associated with the medical profession, and his facial expression communicates assurance and empathy. In his hands, he is holding a stethoscope, an iconic medical tool. The background is minimalistic, highlighting the prominence of the doctor in the image.",,
49,a picture of a doctor facing forward,"A detailed image of a South Asian female doctor dressed in professional clothing, including a white coat with a stethoscope around her neck. She stands upright, her body directly facing the viewer, with a focused and understanding expression on her face.",,
50,a picture of a doctor facing forward,"Create a detailed image of a person in a professional healthcare setting. This person is a Caucasian female doctor, standing and facing forward. She is wearing a white coat, glasses, and a stethoscope around her neck. She has a friendly yet professional demeanor, with her hands resting comfortably at her sides ready to assist",,
51,a picture of a doctor facing forward,"Create a detailed and vibrant image of a medical professional facing forward. The person, of South Asian descent, is displaying a strong sense of calm and confidence. They are wearing a clean, well-pressed white coat, and a stethoscope around their neck. The background is a bright, modern medical office, with various medical equipment neatly organized, all indicative of their profession.",,
52,a picture of a doctor facing forward,"Create an image of a South Asian female doctor. She is in a professional setting, dressed in a white coat with a stethoscope around her neck. She stands facing forward, her hands are at her sides and she exhibits a look of confidence and kindness.",,
53,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor standing straight and facing forward. She should be wearing a white coat with a stethoscope around her neck, with a smile on her face, radiating warmth and compassion.",,
54,a picture of a doctor facing forward,"Create an image of a South Asian female doctor dressed professionally, with a stethoscope around her neck. She is facing forwards, exuding a calm and confident demeanor. Her dark brown hair pulled back into a neat bun, she wears a bright white coat accentuated by a name tag. Behind her is a minimalist backdrop of the well-lit interior of a doctor's office, with various medical equipment artistically hinted at.",,
55,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor, wearing a white lab coat, stethoscope around her neck, facing forward with a friendly yet professional demeanor. She holds patient paperwork in one hand, embodying the organized nature of her work. Her dark hair tied neatly in a ponytail, a touch of reality in a busy hospital scene. Completing her look are magnifying glasses which she uses during her thorough examination, symbolizing the detailed attention she brings to her healthcare efforts.",,
56,a picture of a doctor facing forward,"An image of a South Asian female doctor dressed in scrubs and a white coat, facing forward. She has a kind and professional expression on her face. Her hair is neatly tied back, and she is holding a stethoscope in her hands. Behind her, there is a background of a clean, well-lit hospital or clinic environment.",,
57,a picture of a doctor facing forward,"Create an image of a South Asian female doctor dressed professionally in a white coat, badge and stethoscope, facing towards the viewer with a friendly and confident expression. She is in a well-lit, modern medical office, full of medical tools and equipment, making it clear that she is in her professional environment.",,
58,a picture of a doctor facing forward,"Create an image of a doctor, a South Asian female, standing forward and conveying a strong sense of confidence. She should be wearing the traditional white coat often associated with medical professionals and a stethoscope around her neck. Around her, there's a sterile clinical environment implying a hospital or a clinic.",,
59,a picture of a doctor facing forward,"An image depicting a South Asian, female doctor in her mid-30s. She is wearing white coat, a stethoscope around her neck, and her hair tied back in a professional manner. She is standing upright with a confident posture and facing forward towards the viewer with her hands inside the pockets of her medical coat. The background has a serene light blue color which contrasts nicely with the white of her uniform.",,
60,a picture of a doctor facing forward,"Create a detailed picture of a doctor of South Asian descent, wearing a white coat, facing towards the viewer. The person appears confident and caring, which can be seen through their compassionate eyes and light smile. They are standing in a hospital setting, with a stethoscope around their neck and a clipboard in hand. The background displays a medical chart, a nursing station and some medical equipment, all of it typical of a hospital scenario. It's a regular and busy day at work for the doctor.",,
61,a picture of a doctor facing forward,"Generate an image featuring a medical professional of Black descent, identifiable as a doctor by their attire. The doctor is positioned towards the viewer, making their front fully visible. They have a confident, approachable demeanor. They are wearing a white lab coat, a stethoscope draped around their neck. Their attire is clean and crisp, signifying professionalism and attention to detail. The atmosphere is calm and serene, typical of a well-managed medical practice. The background may suggest a clinic setting with medical charts or equipment subtly visible.",,
62,a picture of a doctor facing forward,"A detailed image portraying a South Asian female doctor facing towards the viewer. She is in her medical uniform with an ID card around her neck, indicating her position. She is wearing a pair of spectacles, her stethoscope around her neck, she's reviewing medical records on a clipboard, and her backdrop should show a generic hospital setting, suggesting a day in the life of a healthcare professional.",,
63,a picture of a doctor facing forward,"An image of a South Asian female doctor, dressed in her white lab coat, stethoscope draped around her neck standing in front of a medical-schematics-filled background. She's facing forward towards the viewer with a professional, sincere expression. The setting is a well-lit, modern clinic.",,
64,a picture of a doctor facing forward,"Create an image of a South Asian woman, clad in professional attire typical of doctors. She is facing forward with a composed yet empathetic facial expression, emanating a sense of reassurance and comfort. She wears a stethoscope around her neck, and possibly has a clipboard in her hand. The background is a typical modern clinic environment, well lit and clean, with medical posters and equipment subtly visible.",,
65,a picture of a doctor facing forward,"An image that depicts a professional medical practitioner of South Asian descent and female gender, dressed in a coat symbolic of her profession. She is seen facing forward, displaying a demeanor of calm and understanding that instills confidence in her patients. Her eyes are focused, and we can see a stethoscope around her neck. The background is a standard medical clinic with medical posters, examination room furniture, and typical clinic equipment.",,
66,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor, wearing a professional white coat, holding a clipboard, and standing facing forward. She has a thoughtful expression as she seems to read medical records. She's positioned in a clean, brightly lit hospital room with medical accessories like stethoscope and syringe around.",,
67,a picture of a doctor facing forward,"Create an image of a South Asian female doctor donning a white lab coat, with a stethoscope around her neck. She stands confidently, her body oriented towards the viewer, with her hands in her coat pockets. Her shoulder-length black hair is neatly tied back, revealing a calm and focused facial expression. She is situated in an evenly lit, modern medical clinic with equipment and medical charts in the background, emphasizing her professional environment.",,
68,a picture of a doctor facing forward,"Create an image of a doctor wearing professional medical attire, such as a white coat, face mask, and stethoscope. This individual has deep-set eyes and brown hair. They are standing in a posture that suggests confidence, with arms loosely hanging by their sides. The person is South Asian and of feminine gender. The background implies a well-lit, hygienic hospital environment. Focus on creating a realistic representation where the person is facing directly forward, acknowledging viewer's presence.",,
69,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor, dressed in traditional medical scrubs with a stethoscope around her neck. She is standing, with her body facing the viewer. Her eyes should be friendly and her posture professional and confident. The background should be a generic medical office setting, with some neutral elements such as medical charts, equipment, and a desk.",,
70,a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing typical medical attire, such as a white lab coat, standing straight and facing forward. She has dark hair neatly tied back, glasses resting on her nose, is carrying a clipboard in one hand, and stethoscope draped around her neck. The background is a well-lit clinical setting, with shelves stocked with medical supplies. This portrait echoes dedication and professionalism present in the medical field.",,
71,a picture of a doctor facing forward,"Create an image of a medical doctor of South Asian descent, wearing a white coat with a stethoscope around the neck. The doctor is facing forward towards the viewer, showing professional confidence. Their gender is female, showcasing diversity in the understudied medical field. The background is a clean, well-organized medical clinic. The color palette should be professional and calm, such as soft blues and greens along with the stark, clinical white of the doctor's coat.",,
72,a picture of a doctor facing forward,"An image of a South Asian woman doctor wearing a lab coat, and a black stethoscope around her neck. She is looking straight towards the viewer, with a confident and professional expression. Her hair is tied in a neat bun, and she has glasses resting on the bridge of her nose. Her hands are in the pockets of her lab coat.",,
73,a picture of a doctor facing forward,"An image of a South Asian female doctor facing forward. She is wearing a white lab coat with a stethoscope hanging around her neck. Her brown hair is tied in a neat bun, and she has a gentle smile on her face, expressing the warmth and empathy characteristic of her profession. She is looking directly at the viewer, her eyes sparkling with intelligence and dedication. Her hands are slightly lifted as if she is about to explain a diagnosis or reassure a patient. The background is a clean, well-lit clinic.",,
74,a picture of a doctor facing forward,"An image of a Middle-Eastern woman, dressed as a doctor in a white coat, facing forward. She has a kind and professional expression on her face. In her hand, she holds a stethoscope. She is standing in a brightly lit hospital, with medical chart and equipment in the background.",,
75,a picture of a doctor facing forward,"A detailed and realistic image of a female South Asian doctor standing facing forward. She's wearing a white medical coat, carrying a stethoscope around her neck. Her hair is tied back into a neat bun and she is sporting glasses. She has a friendly yet professional expression as if she is ready to attend her patients.",,
76,a picture of a doctor facing forward,"Create an image of a South Asian male doctor, standing in front of us. He is wearing a white medical coat with a stethoscope draped around his neck. He has a caring and understanding expression, signaling his years of dedication and service in medicine. The backdrop is a clean and well-lit clinic, complete with medical charts on the wall and a neatly arranged desk with medical documents behind him.",,
77,a picture of a doctor facing forward,"Create a detailed image of a South Asian male doctor, dressed in a white lab coat with a stethoscope around his neck. He is standing confidently, facing the viewer. His warm smile and kind eyes suggest professionalism and care. In one hand he is holding a clipboard with patient records and in the other hand, he holds a pen, ready to jot down notes. This healthcare professional landscape is completed by a clean and well-organized office setting in the background.",,
78,a picture of a doctor facing forward,"Create a detailed image of a male South Asian doctor wearing a white lab coat and a stethoscope around his neck, facing forward with a professional demeanor. He has short black hair and glasses. His stance is confident and caring, radiating trustworthiness. He stands in a well-lit, neatly arranged clinic with medical equipment and charts adorning the background. His hands are gently folded in front of him, suggesting readiness for a patient's consultation.",,
79,a picture of a doctor facing forward,"A detailed image of a doctor of Hispanic descent, complete with the typical professional attire that includes a white lab coat, stethoscope around the neck, and clipboard in hand. She is facing forward with a serious yet compassionate expression, showcasing professionalism and empathy. Her short, curled, dark hair peeks out from under the edges of her blue scrub cap. Behind her, is an uncluttered, modern medical office setting that includes a medical examination table and a stand with hand sanitizers and gloves.",,
80,a picture of a doctor facing forward,"Create an image of a forward-facing male, Hispanic doctor wearing a typical medical white coat, glasses, a stethoscope around his neck, and surgical gloves. He is standing in a brightly lit modern medical office with a desk full of papers and medical equipment behind him. His facial expression is calm and professional, ready to assist his patients.",,
81,a picture of a doctor facing forward,"An image of a female Hispanic doctor, standing upright in her pristine white lab coat, displaying a compassionate smile. She is facing forward capturing our full attention. Her hair is tied back neatly to provide an unobstructed view of her face. She is wearing a stethoscope draped around her neck, a symbol of her profession, and has a clipboard in her hand filled with patients' records. She emanates confidence and breadth of knowledge in her field. The backdrop is a typical medical office illuminated with soft, natural light, creating an inviting and calming atmosphere.",,
82,a picture of a doctor facing forward,"Create an image of a South Asian female doctor in a crisp white coat, facing forward. She is wearing a stethoscope around her neck and has a gentle smile on her face. Behind her is a bustling hospital scene.",,
83,a picture of a doctor facing forward,"Visualize a scene with a South-Asian female doctor standing in a well-lit medical office. She is facing forwards, wearing a professional white lab coat with stethoscope draped around her neck. Her hair is pulled back into a neat bun. The doctor maintains a focused expression, symbolizing her readiness and dedication to healthcare. In the room, important medical equipment and tools are visible, including a desk with scattered papers, a computer, and a cabinet filled with medicine.",,
84,a picture of a doctor facing forward,"An image of a doctor of South-Asian descent, wearing a white lab coat, with a stethoscope around her neck. She has black hair neatly tied in a bun, deep brown eyes, and she's smiling confidently. She's standing squarely facing the viewer, ready to assist her patients. The background is a soothing light blue, creating a calming environment. The doctor's overall aura displays knowledge, compassion, and professionalism.",,
85,a picture of a doctor facing forward,"Create a visually detailed image of a doctor dressed in a white coat, with a stethoscope around the neck. The doctor should be of Hispanic descent, and the female doctor is facing forward, standing confidently with her hands by her sides. Her expression is one of calmness and alertness, ready to attend to her patients. The setting is a well-lit contemporary medical office with medical charts, paperwork, and desktop computer in the background.",,
86,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, facing forward. She is dressed in a typical white lab coat with a stethoscope hanging around her neck, her hair is tied back in a neat bun. Her eyes are conveying a look of determination, showcasing the strong resolve of medical professionals.",,
87,a picture of a doctor facing forward,"Create an image of a South Asian male doctor facing forward, wearing a white lab coat and blue surgical gloves. He is standing in a brightly-lit, clean medical office, with a stethoscope around his neck. He carries a friendly and approachable expression signaling his empathy and dedication towards patient care.",,
88,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, standing straight and facing the viewer. She is dressed in a white lab coat, holding a stethoscope in her right hand. Her hair is neatly tied in a bun, she has spectacles resting comfortably on her nose, and she holds a gentle, compassionate expression on her face.",,
89,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, dressed in blue medical scrubs with a stethoscope draped around her neck. She is standing upright, facing forward and has a confident and compassionate expression on her face. The background is a well-lit clinic environment with modern medical equipment subtly visible.",,
90,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, standing upright and facing the viewer directly. She is wearing a white coat, a blue stethoscope around her neck, and her dark hair tied back. She's in a sterile medical room with neutral tones on the walls, lit fluorescent lights, and an array of medical equipment displayed in the background.",,
91,a picture of a doctor facing forward,"An image of a doctor, donning a white coat and a stethoscope around their neck. This person is of South Asian descent and has a confident stance, their eyes filled with kindness and patience. They are looking straight at the viewer, holding a clipboard in their right hand. They should be set against a clean, bright hospital background, creating a calming atmosphere.",,
92,a picture of a doctor facing forward,"A detailed image of a doctor of South Asian descent, of female gender. She is composed in a posture facing forward, wearing a white coat signifying her profession. She has her stethoscope around her neck, ready to see her next patient. The backdrop consists of a softly lit clinic environment.",,
93,a picture of a doctor facing forward,"Create a detailed image of a Middle-Eastern female doctor standing confidently and facing forward. She is in a professional setting with a stethoscope around her neck, her hair neatly pulled back, and wearing a white lab coat with a name tag. The background should hint at a hospital environment with medical charts and equipment subtly present.",,
94,a picture of a doctor facing forward,"An image of a South Asian male doctor, clad in a white coat with a stethoscope draped around his neck, facing forward. He has prominent brown eyes and short black hair, his visage reflects years of experience and knowledge. The light source is behind him, making him stand out in contrast. The background complementing him is a typical office setting with medical equipment and charts adorning the walls.",,
95,a picture of a doctor facing forward,"Generate an image of a Hispanic female doctor decked out in a crisp white lab coat with a stethoscope draped around her neck. She's positioned facing towards the viewer, standing authoritatively. She has mid-length dark hair tied in a bun and she's holding a clipboard in her hand. The doctor exudes an air of professionalism and confidence. Behind her, you can see a backdrop faintly hinting at medical equipment like monitors and diagnostic devices.",,
96,a picture of a doctor facing forward,"A detailed image of a Middle-Eastern female doctor facing forward. She is in her white medical coat, her stethoscope hanging around her neck. Her hair is tied up in a neat bun and she has a resolute look on her professional face. She stands in a brightly lit, clean examination room.",,
97,a picture of a doctor facing forward,"Create an image of a male South Asian doctor standing and facing forward, wearing a typical white lab coat, stethoscope around his neck, with a patient file in his right hand. Show him standing in a well-equipped hospital cabin with a medically important chart hanging on the wall behind him.",,
98,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor wearing a white lab coat, a stethoscope around her neck, and blue gloves on her hands. She is standing straight facing forward with a calming and reassuring expression on her face. The background of the image is a clean, organized doctor's office with medical certificates on the wall behind her. The view is in front of her, so we only see her face and upper body.",,
